fips,statename,countyname,statecode,countycode,cbsaindicator,cbsastatus,cbsacode,cbsaname,ruralcont,urbaninfluence,loweduc,lowemply,highpovstatus,perspoverty,poploss,totalhospital,cah,beds,breastcancerscreen,oncology,transport,rhc,fqhc,popest2020,medianage,pctblack,pctaian,pcthisp,malignantneoplasm,medhouseincome,deeppov,povrate,belowpovertylvl,uninsured18to64,unemploy,landarea,popdensity,airpart,cbcs,nocare
01001,Alabama,Autauga,01,001,1,Central,388,"Montgomery-Selma-Alexander City, AL",02,2,0,0,0,0,0,1,0,55,1,0,0,0,2,56145,37,17.7,0.4,2.4,98,58233,6.3,12.1,15.2,12,4.9,594.44,91.8,10.4,0,0
01003,Alabama,Baldwin,01,003,1,Central,380,"Mobile-Daphne-Fairhope, AL",03,2,0,0,0,0,0,4,0,348,1,0,0,0,4,229287,41.1,9.4,0.7,4.4,505,59871,4,10.1,10.4,13.8,5.6,1589.78,114.7,7.2,0,0
01005,Alabama,Barbour,01,005,2,Central,,,06,6,1,1,1,1,0,1,0,47,0,0,0,2,3,24589,39,46.9,0.4,5.1,67,35972,15,27.1,30.7,16.8,7,884.88,31,9.4,0,0
01007,Alabama,Bibb,01,007,1,Outlying,142,"Birmingham-Hoover-Talladega, AL",01,1,1,1,0,0,0,1,0,166,1,0,1,1,5,22136,37.8,22,0.3,1.8,52,47918,8.7,20.3,18.1,13.9,6.6,622.58,36.8,10,0,0
01009,Alabama,Blount,01,009,1,Outlying,142,"Birmingham-Hoover-Talladega, AL",01,1,1,1,0,0,0,1,1,25,1,0,0,4,1,57879,39,1.3,0.5,8.1,144,52902,6.5,16.3,13.6,18.1,4.1,644.78,88.9,10.6,0,0
01011,Alabama,Bullock,01,011,0,,,,06,6,1,1,1,1,0,1,0,54,0,0,0,3,1,9976,38.5,70.2,0.2,7.1,23,31906,14,30,28.9,14.8,5.5,622.8,17.5,9.2,0,0
01013,Alabama,Butler,01,013,0,,,,06,6,0,1,1,1,1,1,0,61,0,0,0,3,1,19504,40.1,43.4,0.3,0.9,47,39944,6.4,21.6,22.5,14.7,8.8,776.83,27,8.9,0,0
01015,Alabama,Calhoun,01,015,1,Central,,,03,2,0,1,1,0,0,3,0,244,1,1,0,0,3,113469,38.2,20.6,0.5,3.3,273,47747,7.4,17.2,17.9,15.1,7.1,605.87,195.7,10.8,0,0
01017,Alabama,Chambers,01,017,2,Outlying,122,"Atlanta--Athens-Clarke County--Sandy Springs,GA-AL",06,5,1,1,1,0,1,0,0,0,0,0,0,0,2,32865,41.5,38.7,0.2,1.6,85,42015,6.6,19.6,17.3,15.4,6.8,596.53,57.4,10.2,0,0
01019,Alabama,Cherokee,01,019,0,,,,06,6,0,1,0,0,0,1,0,45,0,0,0,1,1,26294,43.9,4.6,0.5,1.2,68,45982,4.4,15.9,13.9,16,4.6,553.7,46.9,10.3,0,0
01021,Alabama,Chilton,01,021,1,Outlying,142,"Birmingham-Hoover-Talladega, AL",01,1,0,0,0,0,0,1,0,36,1,0,0,1,2,44397,37.6,9.7,0.4,7.8,92,49692,7.2,16,19.1,17.6,5,692.85,63,10.2,0,0
01023,Alabama,Choctaw,01,023,0,,,,09,10,0,1,1,1,1,1,1,25,0,0,0,2,1,12418,43.4,43.4,0.1,0.5,32,39808,8.7,22.6,23.3,14.9,6.7,913.5,15.2,8.9,0,0
01025,Alabama,Clarke,01,025,0,,,,07,11,0,1,1,1,0,2,0,60,0,0,0,6,0,23291,40.2,43.9,0.4,1,67,43822,12,18.4,23.2,15.1,9,1238.46,20.9,9.1,0,0
01027,Alabama,Clay,01,027,0,,,,09,10,1,1,0,0,0,1,0,129,0,0,0,0,1,13112,42,14.8,0.4,2.9,36,40562,5.1,16.6,17.9,17.8,4,603.96,23.1,7.4,0,0
01029,Alabama,Cleburne,01,029,0,,,,08,4,1,1,0,0,0,0,0,0,0,0,0,0,1,14967,40.6,3.3,0.3,2.1,31,51276,4.9,13.3,17.3,16,4.6,560.1,26.7,9.8,0,0
01031,Alabama,Coffee,01,031,2,Central,,,04,5,0,0,0,0,0,1,0,99,1,0,0,0,1,53230,37.6,16.7,1.3,6.4,109,57299,6.4,15,15.1,16.8,4.4,678.97,73.6,9.1,0,0
01033,Alabama,Colbert,01,033,1,Central,,,03,2,0,0,0,0,0,2,0,280,1,1,0,0,1,55411,41.8,16.1,0.5,2,146,46683,5.7,14.6,15.5,13.5,6.6,592.62,91.8,7.5,0,0
01035,Alabama,Conecuh,01,035,0,,,,07,11,1,1,1,1,0,1,0,44,1,0,0,1,4,11851,43,46.5,0.3,1.2,36,41539,10.3,22.2,17.6,15.4,7.3,850.16,15.6,8.8,0,0
01037,Alabama,Coosa,01,037,2,Outlying,388,"Montgomery-Selma-Alexander City, AL",08,3,1,1,1,0,0,0,0,0,0,0,0,2,1,10650,44.2,31,0.3,2,26,42024,4.8,17.1,13.5,13.4,5.5,650.93,17.7,9.8,0,0
01039,Alabama,Covington,01,039,0,,,,06,6,0,1,1,0,0,2,0,137,1,0,0,4,1,36930,42.4,12.5,0.6,1.3,114,44836,8.7,17.2,18.6,16,4.9,1030.46,36.7,8.8,0,0
01041,Alabama,Crenshaw,01,041,0,,,,08,6,0,0,0,0,0,2,0,93,0,0,0,1,1,13681,40.7,23.4,0.4,1.5,41,43309,6,16.8,15.2,16.9,5.7,608.84,22.8,9,0,0
01043,Alabama,Cullman,01,043,2,Central,142,"Birmingham-Hoover-Talladega, AL",04,3,0,0,0,0,0,1,0,145,1,0,0,2,1,84515,39.9,1.1,0.5,4.3,184,50897,6.8,12.2,14.9,17.2,4.3,734.84,109.4,10.5,0,0
01045,Alabama,Dale,01,045,2,Central,222,"Dothan-Ozark, AL",04,5,0,0,0,0,0,1,0,69,0,0,0,0,1,48959,36.1,19.3,0.7,5.6,109,45120,8.2,18.1,17.6,15.4,4.9,561.15,89.6,9.2,0,0
01047,Alabama,Dallas,01,047,2,Central,388,"Montgomery-Selma-Alexander City, AL",04,5,1,1,1,1,1,1,0,149,1,0,0,0,3,36098,37.7,69.4,0.2,0.7,94,34034,12.7,26,29.1,14.4,10.7,978.69,44.8,9.7,0,0
01049,Alabama,DeKalb,01,049,2,Central,497,"Scottsboro-Fort Payne, AL",06,6,1,1,0,0,0,1,0,115,0,0,0,7,3,71658,37.5,1.5,1.4,13.6,153,44277,8.2,18.2,21.1,24.3,4.5,777.09,91.5,7.7,0,0
01051,Alabama,Elmore,01,051,1,Central,388,"Montgomery-Selma-Alexander City, AL",02,2,0,0,0,0,0,2,0,96,0,0,0,5,0,82158,37.8,20,0.4,2.7,163,62310,4.3,11.4,11.5,11.2,4.9,618.48,128.2,10.6,0,0
01053,Alabama,Escambia,01,053,2,Central,426,"Pensacola-Ferry Pass, FL-AL",06,6,1,1,1,1,0,2,0,82,0,0,0,4,6,36281,39.2,31.9,3.4,1.9,97,42712,11.5,20.5,22.2,18.6,6,945.08,40.6,8.8,0,0
